"seed","learner","failed","raw_mse","raw_rmse","norm_mse","norm_rmse","rank_corr","est_sg1","true_sg1","rec_sg1","est_sg2","true_sg2","rec_sg2","est_sg3","true_sg3","rec_sg3","dev_sg3","correct_order","sg3_inflated","topk_overlap","topk_lift","pred_ate","true_ate_test","iteration","treatment_rate","n_treated_train","n_treated_test","sg1_n","sg2_n","sg3_n","true_ate_full","tau_sd"
42,"rlasso",FALSE,6.64278,2.577359,1.41116,1.187923,0.804026,2.6548,0.5687,4.668,8.5728,7.2148,1.1882,2.7602,3.013,0.9161,0.2528,TRUE,FALSE,0.375,2.1726,4.9743,2.8415,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"rboost",FALSE,14.457683,3.802326,3.071321,1.752518,NA,5.9716,0.5687,10.4997,5.9716,7.2148,0.8277,5.9716,3.013,1.9819,2.9586,FALSE,TRUE,0,0.523,5.9716,2.8415,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"rkern",FALSE,6.233749,2.496748,1.324268,1.150768,0.715477,3.7006,0.5687,6.5067,7.5093,7.2148,1.0408,3.7646,3.013,1.2495,0.7516,TRUE,TRUE,0.375,2.1479,4.9032,2.8415,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"slasso",FALSE,7.786473,2.790425,1.654121,1.286126,0.789438,2.478,0.5687,4.357,9.0181,7.2148,1.2499,2.3976,3.013,0.7957,0.6154,FALSE,FALSE,0.375,2.1439,5.0566,2.8415,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"sboost",FALSE,17.439278,4.176036,3.704717,1.924764,0.367659,4.1635,0.5687,7.3206,6.9041,7.2148,0.9569,4.09,3.013,1.3574,1.077,FALSE,TRUE,0.125,1.7696,5.8378,2.8415,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"skern",FALSE,8.119872,2.849539,1.724947,1.313372,0.777469,2.3735,0.5687,4.1734,8.5832,7.2148,1.1897,2.5022,3.013,0.8305,0.5107,TRUE,FALSE,0.25,1.9479,5.06,2.8415,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"tlasso",FALSE,9.660637,3.108156,2.052259,1.432571,0.777699,1.9482,0.5687,3.4255,9.842,7.2148,1.3641,1.8059,3.013,0.5994,1.2071,FALSE,FALSE,0.25,2.0801,5.1252,2.8415,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"tboost",FALSE,26.835839,5.180332,5.700877,2.387651,0.229226,3.6525,0.5687,6.4222,6.6933,7.2148,0.9277,6.7203,3.013,2.2304,3.7073,FALSE,TRUE,0.125,1.4273,3.6597,2.8415,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"tkern",FALSE,8.431991,2.903789,1.791252,1.338377,0.768812,2.7235,0.5687,4.7887,8.2918,7.2148,1.1493,2.779,3.013,0.9223,0.234,TRUE,FALSE,0.25,1.9479,5.1754,2.8415,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"xlasso",FALSE,5.870684,2.42295,1.24714,1.116754,0.828,2.1902,0.5687,3.8509,8.8566,7.2148,1.2276,2.5156,3.013,0.8349,0.4974,TRUE,FALSE,0.375,2.1791,4.7712,2.8415,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"xboost",FALSE,14.767893,3.842902,3.13722,1.77122,0.437712,5.9673,0.5687,10.4923,6.5223,7.2148,0.904,6.0785,3.013,2.0174,3.0655,TRUE,TRUE,0.375,2.089,6.1209,2.8415,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"xkern",FALSE,6.499588,2.549429,1.380741,1.17505,0.682653,4.1076,0.5687,7.2223,9.1881,7.2148,1.2735,3.6651,3.013,1.2164,0.6521,FALSE,TRUE,0.875,2.4827,4.8101,2.8415,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"zero_pred",FALSE,12.734262,3.56851,2.705206,1.644751,NA,0,0.5687,0,0,7.2148,0,0,3.013,0,3.013,FALSE,FALSE,0,0.523,0,2.8415,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"const_pred",FALSE,184.802187,13.594197,39.25849,6.26566,NA,16.2632,0.5687,28.5954,16.2632,7.2148,2.2541,16.2632,3.013,5.3977,13.2502,FALSE,TRUE,0,0.523,16.2632,2.8415,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"ols_inter",FALSE,9.224311,3.037155,1.959568,1.399846,0.778688,1.8017,0.5687,3.1679,9.7809,7.2148,1.3557,1.6889,3.013,0.5605,1.3241,FALSE,FALSE,0.25,2.0801,5.0227,2.8415,1,0.054,24,3,19,5,7,3.1993,2.2369
